Food code,Main food description,WWEIA number,WWEIA description,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Total Fiber (g),Total Fat (g),Water (g)
27450080,Seafood salad,3006,Seafood mixed dishes,190,10.17,1.17,0.56,0.4,15.83,70.93
27450090,Tuna salad with cheese,3006,Seafood mixed dishes,214,11.37,2.78,1.91,0.4,17.58,66.6
27450100,Tuna salad with egg,3006,Seafood mixed dishes,190,10.33,2.67,1.99,0.4,15.4,70.17
27450110,"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",3006,Seafood mixed dishes,63,8.38,2.5,1.23,0.8,2.05,85.84
27450120,"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",3006,Seafood mixed dishes,65,8.91,2.14,0.99,0.7,2.17,85.52
27450130,Crab salad made with imitation crab,3006,Seafood mixed dishes,197,4.12,8.58,3.65,0.6,16.28,69.02
27450150,"Fish, tofu, and vegetables, tempura",3006,Seafood mixed dishes,177,4.01,4.49,1.63,1.1,16,74.76
27450180,"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",3006,Seafood mixed dishes,46,7.79,2.33,0.97,0.8,0.53,88.19
27450190,"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",3006,Seafood mixed dishes,45,7.24,2.74,1.25,0.9,0.5,88.38
27450200,"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",3006,Seafood mixed dishes,62,8.52,2.14,0.99,0.7,2.07,86.11
27450210,"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",3006,Seafood mixed dishes,61,8.01,2.5,1.23,0.8,1.96,86.39
27450250,Oysters Rockefeller,3006,Seafood mixed dishes,134,7.64,9.38,1.23,1.9,7.53,73.42
27450310,Lomi salmon,3006,Seafood mixed dishes,60,7.55,3.31,1.82,1,1.86,86.48
27450400,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",3006,Seafood mixed dishes,118,9.35,3.8,1.37,1.6,7.25,78.34
27450405,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",3006,Seafood mixed dishes,124,9.25,6.78,1.2,1.3,6.87,75.98
27450410,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,116,9.16,5.15,1.5,1.2,6.4,77.58
27450420,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,117,9.46,4.82,1.64,0.9,6.63,77.39
27450430,"Shrimp shish kabob with vegetables, excluding potatoes",3006,Seafood mixed dishes,83,11.25,5.67,2.33,0.9,1.6,79.58
27450450,"Shrimp creole, no rice",3006,Seafood mixed dishes,124,14.34,4.5,1.32,1,5.16,74.08
27450470,Kung Pao shrimp,3404,Stir-fry and soy-based sauce mixtures,176,14.35,5.51,1.46,1.1,10.88,67.17
27450510,"Tuna casserole with vegetables and mushroom sauce, no noodles",3006,Seafood mixed dishes,115,9.04,8.39,1.81,0.8,5.12,76.05
27450600,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,120,9.41,5.89,1.5,1.2,6.38,76.51
27450610,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,121,9.72,5.6,1.64,0.9,6.61,76.28
27450650,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",3006,Seafood mixed dishes,111,6.25,5.92,1.57,1.1,6.92,79.31
27450660,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",3006,Seafood mixed dishes,117,6.3,7.63,1.49,1,6.93,77.61
27450700,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",3006,Seafood mixed dishes,106,6.28,4.39,2.46,1.6,7.26,80.76
27450710,"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",3006,Seafood mixed dishes,112,6.33,6.3,2.36,1.5,7.26,78.83
27450740,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,104,7.79,4.64,1.5,1.2,5.99,80.54
27450750,"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,105,8.03,4.29,1.64,0.9,6.21,80.47
27450760,"Fish shish kabob with vegetables, excluding potatoes",3006,Seafood mixed dishes,68,9.42,4.99,2.33,0.9,1.06,83.53
27451010,"Fried fish with sauce, Puerto Rican style",3006,Seafood mixed dishes,155,11.81,3.42,1.7,0.8,10.3,71.91
27451030,"Lobster with sauce, Puerto Rican style",3006,Seafood mixed dishes,154,10.76,3.94,2.24,1,10.56,72.1
27451060,"Octopus salad, Puerto Rican style",3006,Seafood mixed dishes,170,9.67,5.56,2.13,1,11.95,71.33
27451070,"Codfish salad, Puerto Rican style, Serenata",3006,Seafood mixed dishes,183,6.61,2.81,1.51,0.7,15.94,72.86
27460010,"Chow mein or chop suey, NS as to type of meat, no noodles",3402,Fried rice and lo/chow mein,83,9.78,3.84,1.76,0.8,3.23,82.1
27460100,Lau lau,3006,Seafood mixed dishes,140,15.25,0,0,0,8.32,74.98
